2024/12/13 00:26	福島県沖	4.1	震度1	2024/12/13 00:29
2024/12/12 18:17	福島県沖	4.1	震度2	2024/12/12 18:20
2024/12/12 14:23	石川県西方沖	3.4	震度1	2024/12/12 14:26
2024/12/12 10:39	長野県南部	1.8	震度1	2024/12/12 10:45
2024/12/12 10:12	福島県沖	4.0	震度1	2024/12/12 10:15
2024/12/11 02:50	和歌山県北部	2.7	震度1	2024/12/11 02:52
2024/12/10 13:11	茨城県沖	3.2	震度1	2024/12/10 13:13
2024/12/10 05:33	千葉県東方沖	4.8	震度2	2024/12/10 05:37
2024/12/09 21:43	北海道東方沖	4.8	震度1	2024/12/09 21:47
2024/12/09 21:00	岩手県沖	4.4	震度3	2024/12/09 21:04
2024/12/09 18:33	熊本県熊本地方	2.9	震度2	2024/12/09 18:36
2024/12/09 13:46	神奈川県西部	2.2	震度2	2024/12/09 13:50
2024/12/09 02:58	石川県能登地方	2.6	震度1	2024/12/09 03:01
2024/12/08 22:58	石川県西方沖	4.2	震度2	2024/12/08 23:02
2024/12/08 19:26	千島列島	6.1	震度1	2024/12/08 19:34
2024/12/08 10:36	石川県西方沖	3.4	震度1	2024/12/08 10:39
2024/12/08 07:39	千葉県北西部	4.0	震度2	2024/12/08 07:42
2024/12/07 20:27	石川県西方沖	3.4	震度1	2024/12/07 20:30
2024/12/07 08:28	京都府南部	2.6	震度1	2024/12/07 08:30
2024/12/07 06:42	浦河沖	4.1	震度2	2024/12/07 06:45
2024/12/06 17:38	茨城県北部	3.2	震度1	2024/12/06 17:41
2024/12/06 15:23	熊本県熊本地方	2.1	震度1	2024/12/06 15:26
2024/12/06 14:26	日向灘	4.6	震度3	2024/12/06 14:29
2024/12/06 12:56	茨城県北部	3.3	震度2	2024/12/06 12:58
2024/12/06 12:53	茨城県北部	3.8	震度2	2024/12/06 12:56
2024/12/06 10:03	岩手県沖	4.3	震度1	2024/12/06 10:06
2024/12/06 09:12	奄美大島近海	3.3	震度1	2024/12/06 09:15
2024/12/06 06:46	石川県能登地方	2.3	震度1	2024/12/06 06:49
2024/12/06 03:44	北米西部	7.3	-	2024/12/06 04:07
2024/12/05 23:36	東海道南方沖	5.0	震度1	2024/12/05 23:41
2024/12/05 21:46	胆振地方中東部	2.6	震度1	2024/12/05 21:49
2024/12/05 18:45	島根県東部	2.7	震度1	2024/12/05 18:47
2024/12/05 12:55	埼玉県南部	3.3	震度1	2024/12/05 12:57
2024/12/05 09:56	長野県中部	2.1	震度1	2024/12/05 09:59
2024/12/05 09:54	茨城県北部	2.9	震度1	2024/12/05 09:57
2024/12/05 07:09	長野県中部	2.8	震度1	2024/12/05 07:12
2024/12/04 19:11	茨城県南部	4.3	震度3	2024/12/04 19:15
2024/12/04 14:44	石川県西方沖	3.1	震度1	2024/12/04 14:47
2024/12/04 10:36	岩手県沖	3.8	震度1	2024/12/04 10:39
2024/12/04 10:14	奄美大島近海	2.7	震度1	2024/12/04 10:17
2024/12/04 09:47	石川県西方沖	3.0	震度1	2024/12/04 09:49
2024/12/04 07:31	千葉県南東沖	4.3	震度1	2024/12/04 07:34
2024/12/04 06:05	石川県西方沖	4.0	震度2	2024/12/04 06:09
2024/12/04 00:59	石川県西方沖	3.7	震度1	2024/12/04 01:01
2024/12/04 00:40	石川県西方沖	3.7	震度1	2024/12/04 00:43
2024/12/03 22:38	石川県西方沖	2.8	震度1	2024/12/03 22:41
2024/12/03 14:33	茨城県沖	4.0	震度2	2024/12/03 14:37
2024/12/03 04:51	愛媛県東予	3.9	震度3	2024/12/03 04:54
2024/12/02 17:40	岩手県沿岸北部	3.3	震度1	2024/12/02 17:43
2024/12/02 14:43	茨城県南部	3.0	震度1	2024/12/02 14:45
2024/12/02 14:36	長野県中部	3.5	震度2	2024/12/02 14:39
2024/12/02 13:29	長野県中部	3.2	震度2	2024/12/02 13:31
2024/12/02 09:24	石川県西方沖	3.9	震度1	2024/12/02 09:26
2024/12/02 09:20	石川県西方沖	4.1	震度2	2024/12/02 09:23
2024/12/02 08:39	佐渡付近	4.1	震度1	2024/12/02 08:43
2024/12/02 06:16	石川県西方沖	3.3	震度1	2024/12/02 06:18
2024/12/02 05:49	石川県西方沖	3.7	震度2	2024/12/02 05:51
2024/12/02 03:49	石川県西方沖	3.4	震度1	2024/12/02 03:52
2024/12/02 03:18	石川県西方沖	3.4	震度1	2024/12/02 03:20
2024/12/01 23:49	石川県西方沖	3.7	震度1	2024/12/01 23:52
2024/12/01 23:12	福島県沖	3.5	震度1	2024/12/01 23:15
2024/12/01 16:41	石川県能登地方	3.2	震度2	2024/12/01 16:44
2024/12/01 13:40	石川県西方沖	3.7	震度1	2024/12/01 13:43
2024/12/01 13:15	石川県西方沖	3.8	震度1	2024/12/01 13:17
2024/12/01 11:21	石川県西方沖	4.2	震度2	2024/12/01 11:24
2024/12/01 07:31	石川県西方沖	2.8	震度1	2024/12/01 07:33
2024/12/01 03:55	石川県西方沖	3.5	震度2	2024/12/01 03:57
2024/12/01 01:24	愛媛県南予	3.6	震度1	2024/12/01 01:27
2024/11/30 23:13	石川県西方沖	3.6	震度1	2024/11/30 23:16
2024/11/30 22:56	千葉県東方沖	2.8	震度1	2024/11/30 22:58
2024/11/30 18:07	石垣島近海	5.3	震度2	2024/11/30 18:10
2024/11/30 18:06	石川県西方沖	4.3	震度2	2024/11/30 18:09
2024/11/30 17:46	宮古島近海	5.8	震度3	2024/11/30 17:50
2024/11/30 17:40	石川県西方沖	3.9	震度2	2024/11/30 17:42
2024/11/30 17:34	西表島付近	4.7	震度1	2024/11/30 17:37
2024/11/30 13:18	熊本県熊本地方	2.4	震度1	2024/11/30 13:21
